glottocode,language,iso,level,area,latitude,longitude,countries,affiliation,subclassification,family,endangerment,my_annotation
kham1281,Khamnigan Mongol,ykh,language,Eurasia,49,117,CN;MN;RU,"Mongolic-Khitan, Mongolic, Eastern Mongolic","(Mankovo_Khamnigan_Mongol:1,Urulga_Khamnigan_Mongol:1)kham1281:1;",Mongolic,moribund,remove
russ1264,Russia Buriat,bxr,language,Eurasia,50.85331,105.5637,MN;RU,"Mongolic-Khitan, Mongolic, Eastern Mongolic, Khalkha-Buriat, Buriat","(Alar:1,Barguzin:1,Bohaan:1,Bulagat:1,Ekhirit:1,Ninzne-Udinsk:1,Oka:1,Tunka:1,Unga:1)russ1264:1;",Mongolic,shifting,
mong1330,Mongolia Buriat,bxm,language,Eurasia,48.7686,109.005,CN;MN;RU,"Mongolic-Khitan, Mongolic, Eastern Mongolic, Khalkha-Buriat, Buriat","(Aga:1,Khori:1)mong1330:1;",Mongolic,threatened,remove
kalm1243,Oirad-Kalmyk-Darkhat,xal,language,Eurasia,46.566667,45.316667,CN;KZ;MN;RU,"Mongolic-Khitan, Mongolic, Eastern Mongolic, Khalkha-Buriat, Mongolian","(Alasha_Oirad:1,(Altai_Torguud:1,Altai_Uriankhai:1,Bayid:1,Dambi-Ööld:1,Khoshuud:1,Khoton:1,Khowd_Dörwöd:1,Mingad:1,Zakhchin:1)oira1262:1,Darkhat:1,Deed_Mongol:1,Jungarian_Oirat:1,(Buzawa:1,Dörböt:1,(Orenburgian_Torguud:1,Uralian_Torguud:1)torg1245:1)kalm1244:1,Sart_Qalmaq:1)kalm1243:1;",Mongolic,threatened,
kuba1248,Kubachi,ugh,language,Eurasia,42.08504,47.601843,RU,"Nakh-Daghestanian, Daghestanian, Dargwic",(Kubachi:1);,Nakh-Daghestanian,not endangered,
kajt1238,Kajtak,xdq,language,Eurasia,42.052428,47.776611,RU,"Nakh-Daghestanian, Daghestanian, Dargwic, South Dargwa",(Kajtak:1);,Nakh-Daghestanian,not endangered,
chir1284,Chirag,,language,Eurasia,41.869481,47.41111,RU,"Nakh-Daghestanian, Daghestanian, Dargwic",(Chirag:1);,Nakh-Daghestanian,shifting,
arch1244,Archi,aqc,language,Eurasia,42.3239,46.8267,RU,"Nakh-Daghestanian, Daghestanian, Lezgic",(Archi:1);,Nakh-Daghestanian,shifting,
cham1309,Chamalal,cji,language,Eurasia,42.5024,45.995,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic","((Gadyri:1,Gakvari:1)gakv1239:1,Gigatl:1)cham1309:1;",Nakh-Daghestanian,shifting,
kara1474,Karata-Tukita,kpt,language,Eurasia,42.6501,46.3151,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic","((Anchix:1,Arsho:1,Chabakoro:1,Karata_village:1,Mashtada:1,Nizhnjeje_Inkhelo:1,Rachabalda:1,Ratsitl:1,Sjukh:1)kara1516:1,Tokita:1)kara1474:1;",Nakh-Daghestanian,shifting,
