glottocode,language,iso,level,area,latitude,longitude,countries,affiliation,subclassification,family,endangerment,my_annotation
nort2697,North Azerbaijani,azj,language,Eurasia,40.97768,46.4737,AM;AZ;GE;IR;RU;TR,"Turkic, Common Turkic, Oghuz, Nuclear Oghuz, Central Oghuz","((Baku:1,Derbend_Azerbaijani:1,Lenkaran:1,Quba_-Turkic:1,Salyan:1,Shamakhi:1)east2839:1,(Nukha:1,Qabala:1,Zaqatala_-Turkic:1)nort3322:1,Qyzylbash:1,(Karapapak:1,Nakhchivan:1,Ordubad:1,Terekeme:1,Yerevan:1)sout3306:1,(Airym:1,Borcala:1,(Ganja:1,Shusha:1)cent2356:1,Qazakh:1)west2924:1)nort2697:1;",Turkic,not endangered,remove
kaza1248,Kazakh,kaz,language,Eurasia,51.17,71.454,AF;CN;IR;KG;KZ;MN;RU;TJ;TM;UZ,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Southeast Kipchak, South Kipchak","(Northeastern_Kazakh:1,Southern_Kazakh:1,Western_Kazakh:1)kaza1248:1;",Turkic,not endangered,remove
crim1257,Crimean Tatar,crh,language,Eurasia,45,34.08,BG;KG;LT;MD;RO;RU;TR;UA;UZ,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, West Kipchak, Crimean Tatar-Urum, Crimeaic","(Central_Crimean:1,Cuman:1,Şöl_Dobruja_Tatar:1)crim1257:1;",Turkic,threatened,remove
chul1246,Lower Chulym Turkic,clw,language,Eurasia,56.87439,86.5892,RU,"Turkic, Common Turkic, South Siberian Turkic, Northern Altai-Lower Chulym","(Chibi:1,Ketsik:1,Küärik:1,Yatsi:1,Yezhi:1)chul1246:1;",Turkic,moribund,
shor1247,Mrassu Shor-Tutal,cjs,language,Eurasia,53.70953,87.84468,RU,"Turkic, Common Turkic, South Siberian Turkic, Sayan-Yenisei Turkic, Yenisey Turkic","(Mrassa:1,Tutal_Middle_Chulym:1)shor1247:1;",Turkic,moribund,
kara1462,Taiga Sayan Turkic,kim,language,Eurasia,53.7145,98.3792,RU,"Turkic, Common Turkic, South Siberian Turkic, Sayan-Yenisei Turkic, Sayan","(Dukha:1,Soyot:1,Todja:1,Tofa:1,Tuha:1)kara1462:1;",Turkic,nearly extinct,
tuvi1240,Tuvinian,tyv,language,Eurasia,51.7,94.36667,CN;MN;RU,"Turkic, Common Turkic, South Siberian Turkic, Sayan-Yenisei Turkic, Sayan","(Central_Tuvin:1,Northeastern_Tuvin:1,Southern_Tuvin:1,Western_Tuvin:1)tuvi1240:1;",Turkic,not endangered,
sibe1250,Siberian Tatar,sty,language,Eurasia,57.4921,72.5642,RU,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, North Kipchak","(Baraba_Tatar:1,(Tara_-Turkic:1,Tevriz:1,Tobol:1,Tyumen:1,Zabolotny:1)tobo1249:1,Tomsk_Tatar:1)sibe1250:1;",Turkic,not endangered,
tata1255,Tatar,tat,language,Eurasia,55.79592,49.11577,AZ;BY;CN;EE;FI;GE;KZ;LT;LV;RU;UA,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, North Kipchak, Bashkiric","((Astrakhan_Tatar:1,Kasimov:1,Kazan_Tatar:1)midd1325:1,Tepter_Tatar:1,Ural_Tatar:1,West_Tatar:1)tata1255:1;",Turkic,not endangered,
dolg1241,Dolgan,dlg,language,Eurasia,71.10828,94.29358,RU,"Turkic, Common Turkic, Sakha-Dolgan",(Dolgan:1);,Turkic,shifting,
nort2686,Northern Altai,atv,language,Eurasia,50.8998,88.0672,RU,"Turkic, Common Turkic, South Siberian Turkic, Northern Altai-Lower Chulym","(Chelkan:1,Kondoma_Shor:1,Kumandin:1,Tuba-Kizi:1)nort2686:1;",Turkic,shifting,
khak1248,Khakas,kjh,language,Eurasia,50.73933,107.16939,CN;RU,"Turkic, Common Turkic, South Siberian Turkic, Sayan-Yenisei Turkic, Yenisey Turkic","(Fuyu_Kirghiz:1,Kamassian_-Turkic:1,(Kyzyl:1,Melet_Middle_Chulym:1)kyzy1246:1,((Kacha:1,Old_Iyus:1)kach1287:1,(Beltir:1,Sagai:1)saga1268:1)saga1267:1,Tashtyr:1,Xakass_Shor:1)khak1248:1;",Turkic,shifting,
sout2694,Southern Altai,alt,language,Eurasia,50.1347,86.8705,CN;KZ;MN;RU,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Southeast Kipchak, East Kipchak","(Altai-Kizi:1,Telengit_-Kosh-Agach_and_Ulagan:1,(Kalmak_Tatar:1,Teleut:1)tele1258:1)sout2694:1;",Turkic,shifting,
noga1249,Nogai,nog,language,Eurasia,44.89776,43.1656,KZ;RU,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Southeast Kipchak, South Kipchak","(Alabugat_Tatar:1,Black_Nogai:1,Central_Nogai:1,Karagash:1,Steppe_Crimean_Tatar:1,White_Nogai:1,Yurt_Tatar:1)noga1249:1;",Turkic,shifting,
urum1249,Kipchak Urum,uum,language,Eurasia,42.0379,43.994,GE;GR;RU;UA,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, West Kipchak, Crimean Tatar-Urum",(Kipchak_Urum:1);,Turkic,shifting,remove
chuv1255,Chuvash,chv,language,Eurasia,55.48701,47.16298,EE;KZ;RU,"Turkic, Bolgar","(Anatri:1,Viryal:1)chuv1255:1;",Turkic,threatened,
yaku1245,Sakha,sah,language,Eurasia,61.69744,133.98031,RU,"Turkic, Common Turkic, Sakha-Dolgan",(Sakha:1);,Turkic,threatened,
kara1465,Karachay-Balkar,krc,language,Eurasia,43.565,42.2606,AZ;GE;KZ;RU,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, West Kipchak, Kaukasus Kipchak","(Balkar:1,Karachay:1)kara1465:1;",Turkic,threatened,
kumy1244,Kumyk,kum,language,Eurasia,43,47,KZ;RU,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, West Kipchak, Kaukasus Kipchak","(Buynak:1,Khaikent:1,Khasavyurt:1)kumy1244:1;",Turkic,threatened,
bash1264,Bashkir,bak,language,Eurasia,53.59671,56.55937,KZ;RU;UA,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Northwest Kipchak, North Kipchak, Bashkiric","(Burzhan:1,Kuvakan:1,Yurmaty:1)bash1264:1;",Turkic,threatened,
sout3226,Southern Khanty,,language,Eurasia,59.500948,69.085972,RU,"Uralic, Khantyic",(Irtysh_Khanty:1)sout3226;,Uralic,extinct,remove
sout3253,Southern Mansi,,language,Eurasia,58.4362,65.5664,RU,"Uralic, Mansic",(Southern_Mansi:1);,Uralic,extinct,remove
mato1250,Mator-Taigi-Karagas,mtm,language,Eurasia,53.4349,102.856,RU,"Uralic, Samoyedic","(Karagas_-Mator:1,Nuclear_Mator:1,Taigi:1)mato1250:1;",Uralic,extinct,remove
kama1351,Kamas-Koibal,xas,language,Eurasia,55.07,94.83,RU,"Uralic, Samoyedic, Kamas-Selkup","(Kamas_-Uralic:1,Samoyed_Koibal:1)kama1351:1;",Uralic,extinct,remove
akka1237,Akkala Saami,sia,language,Eurasia,67.8625,32.4046,RU,"Uralic, Saami, Eastern Saami, Mainland Eastern Saami",(Akkala_Saami:1);,Uralic,extinct,remove
esto1258,Estonian,ekk,language,Eurasia,58.55,25.82,EE;LV;RU,"Uralic, Finnic, Coastal Finnic, Neva, Central Finnic","((Ida_Estonian:1,Kesk_Estonian:1,Lääne:1,Saarte:1)midd1322:1,North_Estonian:1)esto1258:1;",Uralic,not endangered,remove
finn1318,Finnish,fin,language,Eurasia,64.7628,25.5577,EE;FI;NO;RU;SE,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Nuclear Finnish","(Central_and_North_Pohjanmaa:1,Häme:1,Peräpohja:1,Savo:1,South_Pohjanmaa:1,Southeastern_Finnish:1,Southwestern_Finnish:1)finn1318:1;",Uralic,not endangered,remove
ngan1291,Nganasan,nio,language,Eurasia,73.1354,86.2106,RU,"Uralic, Samoyedic","((Pyasina_Avam:1,Taimyr_Avam:1)avam1236:1,Vadeyev:1)ngan1291:1;",Uralic,moribund,
cent2322,Central Mansi,,language,Eurasia,61.1432,62.4023,RU,"Uralic, Mansic, North-Central Mansi","((Jukonda:1,Lower_Konda:1,Middle_Konda:1,Upper_Konda:1)east2879:1,(Lower_Lozva:1,Middle_Lozva:1,North_Vagil:1,Pelym:1,South_Vagil:1)west2976:1)cent2322:1;",Uralic,moribund,
kild1236,Kildin Saami,sjd,language,Eurasia,68.2158,35.8348,RU,"Uralic, Saami, Eastern Saami, Peninsular Eastern Saami","(Arsjogg:1,Kiillt:1,Kårdegg:1,Lujaa'vvr:1)kild1236:1;",Uralic,moribund,
ters1235,Ter Saami,sjt,language,Eurasia,67.2458,38.5061,RU,"Uralic, Saami, Eastern Saami, Peninsular Eastern Saami",(Ter_Saami:1);,Uralic,moribund,
fore1265,Forest Enets,enf,language,Eurasia,68.6,86.5,RU,"Uralic, Samoyedic, Enets-Nenets, Enets",(Forest_Enets:1);,Uralic,moribund,
ingr1248,Ingrian,izh,language,Eurasia,59.47403,29.71145,EE;RU,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Ladogan","(Hevaha:1,Kukkuzi:1,(Lower_Luga_Ingrian:1,Siberian_Ingrian_Finnish:1)lowe1392:1,Oredezhi:1,Soikkola:1)ingr1248:1;",Uralic,moribund,
kven1236,Kven Finnish,fkv,language,Eurasia,69.3772,29.5434,FI;NO;RU,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Nuclear Finnish",(Kven_Finnish:1);,Uralic,moribund,
veps1250,Veps,vep,language,Eurasia,60.3353,34.7865,RU,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Ladogan, East Ladoga","(Central_Veps:1,Prionezh:1,Southern_Veps:1)veps1250:1;",Uralic,moribund,
fare1244,Vach-Vasjugan,,language,Eurasia,60.10378,79.873651,RU,"Uralic, Khantyic, East Khanty","(Vach_Khanty:1,Vasjugan_Khanty:1)fare1244:1;",Uralic,nearly extinct,
surg1248,Surgut Khanty,,language,Eurasia,61.25,73.35,RU,"Uralic, Khantyic, East Khanty","(Agan:1,Jugan:1,Likisovskoje:1,Pim:1,Salym_Khanty:1,Tromagan:1)surg1248:1;",Uralic,nearly extinct,
skol1241,Skolt Saami,sms,language,Eurasia,68.8326,29.7204,FI;NO;RU,"Uralic, Saami, Eastern Saami, Mainland Eastern Saami","(Notozer:1,Yokan:1)skol1241:1;",Uralic,nearly extinct,
tund1254,Tundra Enets,enh,language,Eurasia,70.36,84.08,RU,"Uralic, Samoyedic, Enets-Nenets, Enets",(Tundra_Enets:1);,Uralic,nearly extinct,
voti1245,Votic,vot,language,Eurasia,59.3802,28.6235,RU,"Uralic, Finnic, Coastal Finnic, Neva, Central Finnic","(East_Vod:1,Krevin:1,(Kattila:1,Lower_Luga_Votic:1,Northeastern_Coastal_Estonian:1)west2391:1)voti1245:1;",Uralic,nearly extinct,
ludi1246,Ludian,lud,language,Eurasia,61.853,33.7346,RU,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Ladogan, East Ladoga","(Central_Ludic:1,Northern_Ludic:1,Southern_Ludic:1)ludi1246:1;",Uralic,nearly extinct,
moks1248,Moksha,mdf,language,Eurasia,54.1855,42.6728,RU,"Uralic, Mordvin",(Moksha:1);,Uralic,not endangered,
udmu1245,Udmurt,udm,language,Eurasia,56.12921,52.63548,KZ;RU,"Uralic, Permian","(Besermyan:1,Central_Udmurt:1,North_Udmurt:1,(Peripheral_South_Udmurt:1)sout2681:1)udmu1245:1;",Uralic,shifting,
erzy1239,Erzya,myv,language,Eurasia,52.8548,45.3901,AZ;BY;EE;KZ;LT;LV;RU;UA,"Uralic, Mordvin",(Erzya:1);,Uralic,shifting,
komi1277,Komi-Yazva,,language,Eurasia,60.717,55.756,RU,"Uralic, Permian, Komi",(Komi-Yazva:1);,Uralic,shifting,
obdo1234,Obdorsk Khanty,,language,Eurasia,66.31,67.09,RU,"Uralic, Khantyic, Northern Khanty",(Obdorsk_Khanty:1);,Uralic,shifting,
khan1273,Kazym-Berezover-Suryskarer Khanty,kca,language,Eurasia,62.4308,66.1218,RU,"Uralic, Khantyic, Northern Khanty","(Berezover_Khanty:1,Kazym_Khanty:1,Middle_Ob_Khanty:1,Suryskarer_Khanty:1)khan1273:1;",Uralic,shifting,
mans1258,Northern Mansi,mns,language,Eurasia,64.4118,61.344,RU,"Uralic, Mansic, North-Central Mansi","(Ob_Mansi:1,Sosva_Mansi:1,Sygva_Mansi:1,Upper_Loz'va_Mansi:1)mans1258:1;",Uralic,shifting,
selk1253,Selkup,sel,language,Eurasia,59.9409,82.3004,RU,"Uralic, Samoyedic, Kamas-Selkup","((((Narym:1,Tym:1,Vasyugan_Selkup:1)cent2328:1,Srednyaya_Ob-Ket:1)kety1235:1,Southern_Selkup:1)kety1234:1,Taz-Turukhan:1)selk1253:1;",Uralic,shifting,
nort2671,North Saami,sme,language,Eurasia,68.725,22.1113,FI;NO;RU;SE,"Uralic, Saami, Western Saami, Central Western Saami","((Eastern_Finnmarku_Saami:1,Western_Finnmarku_Saami:1)finn1320:1,Sea_Lappish:1,(Gárasavvon:1,Čohkkiras:1)torn1243:1)nort2671:1;",Uralic,shifting,remove
nene1249,Tundra Nenets,yrk,language,Eurasia,66.1775,71.0234,RU,"Uralic, Samoyedic, Enets-Nenets, Nenets","(Central_Tundra_Nenets:1,Eastern_Tundra_Nenets:1,Western_Tundra_Nenets:1,Yurats:1)nene1249:1;",Uralic,shifting,
fore1274,Forest Nenets,,language,Eurasia,63.72,71.97,RU,"Uralic, Samoyedic, Enets-Nenets, Nenets","(Agan_Nenets:1,Lyamin_Nenets:1,Nadym_Nenets:1,Pur_Nenets:1)fore1274:1;",Uralic,shifting,
kare1335,Karelian,krl,language,Eurasia,65.1691,30.8655,FI;RU,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Ladogan","(Northern_Karelian:1,Novgorod:1,(Tver:1,Valdai:1)sout2676:1)kare1335:1;",Uralic,shifting,
livv1243,Livvi,olo,language,Eurasia,61.6565,29.0726,FI;RU,"Uralic, Finnic, Coastal Finnic, Neva, North Finnic, Ladogan, East Ladoga",(Livvi:1);,Uralic,shifting,
east2328,Eastern Mari,mhr,language,Eurasia,55.8307,48.405,KZ;RU,"Uralic, Mari",(Grassland_Mari:1)east2328;,Uralic,threatened,
west2392,Western Mari,mrj,language,Eurasia,56.22,46.569,RU,"Uralic, Mari","(Kozymodemyan:1,Yaran:1)west2392:1;",Uralic,threatened,
komi1268,Komi-Zyrian,kpv,language,Eurasia,64.0527,54.946,RU,"Uralic, Permian, Komi","((Lower_Vychegda:1,Middle_Sysola:1,Middle_Vychegda:1,Upper_Vychegda:1)cent2400:1,(Izhma:1,Pechora:1,Vym':1)nort3401:1,(Luza-Letka:1,Upper_Sysola:1)sout3379:1,West_Zyryan:1)komi1268:1;",Uralic,threatened,
komi1269,Komi-Permyak,koi,language,Eurasia,59.6602,54.7959,RU,"Uralic, Permian, Komi","(North_Permyak:1,South_Permyak:1,Zyuzdin:1)komi1269:1;",Uralic,threatened,
kott1239,Kott-Assan,zko,language,Eurasia,55,94,RU,"Yeniseian, Southern Yeniseian",(Kott-Assan:1);,Yeniseian,extinct,remove
yugh1239,Yugh,yug,language,Eurasia,60.8778,89.7479,RU,"Yeniseian, Northern Yeniseian",(Yugh:1);,Yeniseian,extinct,remove
arin1243,Arin,xrn,language,Eurasia,57,93,RU,"Yeniseian, Southern Yeniseian, Arin-Pumpokol",(Arin:1);,Yeniseian,extinct,remove
pump1237,Pumpokol,xpm,language,Eurasia,58.5,92,RU,"Yeniseian, Southern Yeniseian, Arin-Pumpokol",(Pumpokol:1);,Yeniseian,extinct,remove
kett1243,Ket,ket,language,Eurasia,63.7551,87.5466,RU,"Yeniseian, Northern Yeniseian","(Central_Ket:1,Northern_Ket:1,Southern_Ket:1)kett1243:1;",Yeniseian,shifting,
yuka1240,Malyj Anjuj Omok,omk,language,Eurasia,68.051787,162.958525,RU,Yukaghir,(Malyj_Anjuj_Omok:1);,Yukaghir,extinct,remove
chuv1256,Chuvantsy,xcv,language,Eurasia,65.17,167.96,RU,"Yukaghir, Kolymic",(Chuvantsy:1);,Yukaghir,extinct,remove
nort2745,Northern Yukaghir,ykg,language,Eurasia,70.498,157.853,RU,Yukaghir,(Northern_Yukaghir:1);,Yukaghir,nearly extinct,
sout2750,Southern Yukaghir,yux,language,Eurasia,64.218,154.375,RU,"Yukaghir, Kolymic",(Southern_Yukaghir:1);,Yukaghir,nearly extinct,
